scorer,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000
7,1083.531,612.689,0.9980000257492065,1003.947,542.278,0.9909999966621399,941.052,467.631,0.968999981880188,1060.968,441.946,0.9679999947547913,939.907,362.781,0.9929999709129333,1028.737,633.159,0.9950000047683716,939.802,548.334,0.8870000243186951,906.451,435.614,0.9919999837875366,895.604,356.756,0.9980000257492065,892.001,454.595,0.9950000047683716,234.344,503.644,1.0,268.453,547.692,1.0,292.108,571.823,0.9750000238418579,284.021,595.209,0.7630000114440918
8,1091.457,618.785,0.9980000257492065,1009.935,547.48,0.9950000047683716,947.516,467.89,0.9580000042915344,1066.961,443.548,0.9679999947547913,946.021,363.933,0.9940000176429749,1036.747,635.857,0.9929999709129333,939.775,548.221,0.7940000295639038,906.633,437.256,0.9950000047683716,899.246,358.994,0.9990000128746033,891.283,460.898,0.9850000143051147,241.595,495.249,1.0,269.251,539.067,0.9990000128746033,292.482,571.658,0.9860000014305115,284.156,587.222,0.7300000190734863
9,1099.138,620.96,0.9919999837875366,1014.098,549.089,0.9959999918937683,948.368,475.415,0.9039999842643738,1068.566,444.343,0.9470000267028809,949.056,371.106,0.996999979019165,1037.343,640.645,0.9950000047683716,939.611,548.156,0.7820000052452087,907.232,444.678,0.9829999804496765,904.323,363.876,0.996999979019165,891.192,465.992,0.9940000176429749,246.163,490.838,1.0,270.748,537.129,0.9990000128746033,292.92,563.243,0.9800000190734863,306.429,572.361,0.9760000109672546
10,1105.765,628.395,0.9990000128746033,1019.415,556.77,0.9919999837875366,947.795,491.126,0.8820000290870667,1078.551,451.634,0.9829999804496765,956.555,373.708,0.9950000047683716,1042.67,646.308,0.9980000257492065,939.694,548.286,0.7269999980926514,908.016,445.018,0.9929999709129333,906.06,364.192,0.9990000128746033,892.155,468.126,0.9990000128746033,250.753,480.435,1.0,274.848,533.05,1.0,291.751,555.951,0.9869999885559082,305.663,572.433,0.9909999966621399
11,1115.311,634.843,0.9929999709129333,1027.474,556.756,0.9940000176429749,956.484,483.413,0.9490000009536743,1083.929,453.37,0.972000002861023,947.537,378.412,0.9909999966621399,1052.454,650.835,0.9879999756813049,933.094,531.884,0.8230000138282776,915.001,450.311,0.9950000047683716,914.437,365.968,0.9950000047683716,900.703,467.426,0.996999979019165,251.519,476.039,1.0,276.475,523.345,0.9990000128746033,292.004,556.118,0.9549999833106995,304.006,572.381,0.996999979019165
12,1123.075,636.198,0.9980000257492065,1034.862,563.77,0.9909999966621399,964.119,483.676,0.9359999895095825,1093.302,459.426,0.9729999899864197,955.901,379.501,0.9860000014305115,1053.384,652.616,0.9929999709129333,939.568,548.652,0.8619999885559082,915.743,452.348,0.996999979019165,915.895,371.813,0.5040000081062317,899.801,476.576,0.9900000095367432,250.682,470.551,1.0,283.465,522.963,0.9980000257492065,291.984,556.381,0.7940000295639038,300.176,572.927,0.9959999918937683
13,1131.628,643.083,0.996999979019165,1042.92,565.103,0.9929999709129333,963.963,490.96,0.9660000205039978,1100.298,466.595,0.9570000171661377,962.961,380.288,0.9890000224113464,1058.293,659.334,0.9980000257492065,939.608,548.581,0.8460000157356262,915.679,459.167,0.972000002861023,1012.056,1075.927,0.03400000184774399,901.753,476.662,0.9700000286102295,250.149,466.336,1.0,284.331,522.289,0.9990000128746033,292.57,548.922,0.7670000195503235,306.094,573.383,0.9990000128746033
14,1139.274,644.949,0.9990000128746033,1045.495,571.522,0.9919999837875366,963.61,498.945,0.9700000286102295,1107.977,469.237,0.9819999933242798,965.317,388.243,0.9940000176429749,1061.454,661.935,0.996999979019165,940.074,556.295,0.8659999966621399,917.244,460.202,0.9909999966621399,1012.078,1075.965,0.04100000113248825,901.211,484.378,0.859000027179718,250.393,463.382,1.0,282.899,520.276,1.0,300.317,548.514,0.7580000162124634,305.432,572.665,0.9980000257492065
15,1147.421,651.788,0.9909999966621399,1052.363,572.91,0.9819999933242798,964.186,507.234,0.9340000152587891,1115.986,475.037,0.9769999980926514,972.277,389.518,0.9890000224113464,1069.302,667.373,0.9919999837875366,939.682,564.814,0.9359999895095825,917.482,460.596,0.9779999852180481,1012.066,1075.97,0.03200000151991844,907.886,483.631,0.04699999839067459,248.555,460.667,1.0,283.095,517.871,1.0,299.775,540.395,0.6840000152587891,299.57,571.847,0.9990000128746033
16,1157.972,653.313,0.9959999918937683,1060.655,578.431,0.9929999709129333,964.679,499.581,0.9710000157356262,1125.068,475.219,0.9710000157356262,978.486,395.548,0.9860000014305115,1077.458,669.876,0.9980000257492065,939.818,564.947,0.9259999990463257,917.203,466.45,0.9919999837875366,1012.083,1075.945,0.03799999877810478,907.985,491.642,0.31200000643730164,246.736,460.0,1.0,283.46,517.137,1.0,299.837,540.388,0.7580000162124634,299.63,570.956,0.9990000128746033
17,1170.012,659.622,0.9990000128746033,1067.691,582.226,0.9869999885559082,964.481,507.534,0.9509999752044678,1132.411,483.378,0.9739999771118164,971.922,394.919,0.9919999837875366,1085.485,675.098,0.996999979019165,947.537,580.171,0.8880000114440918,916.762,469.408,0.9599999785423279,1012.044,1075.945,0.04100000113248825,907.844,499.689,0.17599999904632568,245.666,458.408,1.0,284.771,506.464,0.9990000128746033,299.835,540.425,0.7950000166893005,300.24,568.968,0.9990000128746033
18,1178.737,662.473,0.9940000176429749,1075.953,587.131,0.9929999709129333,972.039,516.107,0.9350000023841858,1146.826,491.192,0.9580000042915344,979.71,402.931,0.996999979019165,1092.817,680.821,0.996999979019165,948.764,588.401,0.8989999890327454,916.928,476.435,0.6830000281333923,907.689,508.304,0.07500000298023224,908.148,507.558,0.1509999930858612,244.888,452.566,1.0,284.301,506.711,1.0,299.849,540.429,0.7789999842643738,300.327,568.033,0.9990000128746033
19,1185.895,668.052,0.996999979019165,1083.968,588.768,0.9829999804496765,972.192,523.489,0.9139999747276306,1154.902,491.873,0.9700000286102295,979.272,404.668,0.9860000014305115,1101.098,684.291,0.9959999918937683,948.581,588.459,0.9129999876022339,915.413,482.981,0.9010000228881836,907.74,508.663,0.09200000017881393,908.171,507.634,0.16899999976158142,246.085,450.001,1.0,283.946,506.795,1.0,300.199,532.971,0.7620000243186951,299.802,564.209,0.9990000128746033
20,1190.254,673.985,0.9990000128746033,1092.184,596.54,0.9909999966621399,979.766,523.506,0.9380000233650208,1163.022,499.2,0.9580000042915344,978.579,405.049,0.9679999947547913,1105.193,690.054,0.9980000257492065,947.482,579.969,0.8859999775886536,916.246,483.03,0.9860000014305115,907.791,508.497,0.05000000074505806,908.09,515.992,0.3919999897480011,247.204,449.154,1.0,282.991,499.987,1.0,292.365,532.361,0.9340000152587891,299.759,562.675,0.9990000128746033
21,1195.431,675.802,0.996999979019165,1100.026,603.06,0.9850000143051147,979.857,523.291,0.9449999928474426,1164.03,500.87,0.968999981880188,971.962,411.398,0.9769999980926514,1109.53,693.406,0.9980000257492065,948.349,588.285,0.890999972820282,916.702,483.001,0.9980000257492065,908.203,508.226,0.04699999839067459,908.192,516.028,0.5440000295639038,246.019,445.692,1.0,283.147,499.427,1.0,292.201,531.898,0.8889999985694885,304.831,555.516,0.9990000128746033
22,1205.444,683.543,0.996999979019165,1108.551,604.043,0.9929999709129333,979.934,523.536,0.9269999861717224,1178.322,506.976,0.9750000238418579,971.984,411.28,0.9750000238418579,1117.091,699.009,0.9950000047683716,948.309,588.371,0.8379999995231628,916.745,483.505,0.9990000128746033,907.35,516.431,0.057999998331069946,902.554,514.997,0.9900000095367432,246.065,445.276,1.0,281.297,491.107,0.9990000128746033,292.505,524.289,0.9309999942779541,299.712,554.95,0.9990000128746033
23,1211.417,685.734,0.9959999918937683,1115.442,612.387,0.9869999885559082,988.01,524.09,0.921999990940094,1188.047,514.814,0.9779999852180481,979.484,419.192,0.984000027179718,1124.037,704.442,0.9990000128746033,948.491,588.537,0.8809999823570251,917.268,492.494,0.996999979019165,900.489,516.991,0.035999998450279236,901.199,515.78,0.9990000128746033,246.458,444.984,1.0,283.772,491.746,1.0,292.597,524.341,0.9480000138282776,299.806,554.533,0.9990000128746033
24,1219.746,691.126,0.9990000128746033,1124.942,614.347,0.9909999966621399,988.167,532.263,0.906000018119812,1194.463,518.102,0.9739999771118164,988.136,420.993,0.9639999866485596,1132.887,707.248,0.996999979019165,948.864,595.447,0.9459999799728394,918.365,492.048,0.996999979019165,1012.079,1075.843,0.02199999988079071,898.033,516.152,1.0,247.397,444.228,1.0,283.914,491.166,1.0,292.156,524.246,0.9580000042915344,299.872,554.291,0.9990000128746033
25,1227.376,700.302,0.9950000047683716,1131.807,619.658,0.9860000014305115,995.787,532.143,0.9049999713897705,1203.869,522.724,0.9779999852180481,1003.694,427.76,0.9520000219345093,1139.397,713.488,0.9980000257492065,956.26,603.523,0.8289999961853027,919.075,492.41,0.9959999918937683,932.225,412.122,0.16699999570846558,892.021,518.349,0.9980000257492065,251.398,442.628,0.9990000128746033,284.057,491.194,1.0,291.87,524.201,0.9470000267028809,299.983,553.543,0.9980000257492065
26,1233.898,701.654,0.9980000257492065,1140.465,625.553,0.9869999885559082,1004.113,540.063,0.8920000195503235,1211.168,530.298,0.9679999947547913,1003.726,427.758,0.9570000171661377,1142.247,716.912,0.9980000257492065,956.293,603.596,0.8479999899864197,922.785,493.1,0.9919999837875366,921.654,421.898,0.9959999918937683,885.885,522.974,0.9990000128746033,251.22,442.411,0.9990000128746033,278.692,486.388,1.0,283.62,524.198,0.8640000224113464,299.892,550.833,0.9990000128746033
27,1238.711,707.213,0.9990000128746033,1147.121,630.165,0.9860000014305115,1011.578,547.631,0.8999999761581421,1218.798,533.095,0.9800000190734863,1010.947,427.527,0.9869999885559082,1149.699,721.354,0.9980000257492065,956.354,603.573,0.871999979019165,922.976,493.895,0.9950000047683716,921.105,425.914,0.9990000128746033,881.855,525.221,0.9990000128746033,250.502,438.555,1.0,279.247,483.237,1.0,283.657,516.65,0.8140000104904175,300.264,548.157,0.9990000128746033
28,1243.335,710.482,0.9950000047683716,1156.751,635.273,0.9929999709129333,1019.995,555.863,0.8560000061988831,1226.593,539.61,0.9700000286102295,1019.998,435.735,0.9800000190734863,1155.589,726.361,0.9990000128746033,962.815,611.401,0.9520000219345093,922.905,498.064,0.996999979019165,919.609,426.993,0.9990000128746033,877.057,526.312,0.9990000128746033,250.778,438.876,0.9990000128746033,279.369,481.104,1.0,283.882,508.273,0.8399999737739563,306.846,540.018,0.9990000128746033
29,1252.193,717.269,0.9990000128746033,1163.828,637.193,0.9869999885559082,1020.061,556.002,0.8859999775886536,1235.114,548.008,0.9810000061988831,1027.797,437.543,0.9789999723434448,1164.616,731.651,0.9959999918937683,963.966,611.992,0.878000020980835,922.556,500.344,0.996999979019165,914.361,427.376,0.9990000128746033,876.994,527.83,0.9990000128746033,257.634,436.819,1.0,276.728,475.639,0.9990000128746033,283.51,508.099,0.9589999914169312,305.822,539.251,0.9990000128746033
30,1259.275,722.785,0.9980000257492065,1170.851,645.406,0.9909999966621399,1027.272,563.864,0.9240000247955322,1237.656,549.879,0.9760000109672546,1042.84,443.638,0.9760000109672546,1167.858,737.742,0.9990000128746033,971.756,627.837,0.8349999785423279,923.638,502.499,0.9980000257492065,912.062,427.899,0.9990000128746033,876.966,532.102,0.9990000128746033,260.975,437.578,0.9980000257492065,274.916,475.747,0.9980000257492065,283.641,507.898,0.9829999804496765,306.171,538.409,0.9990000128746033
31,1259.868,725.365,0.996999979019165,1179.027,651.627,0.9869999885559082,1027.722,564.221,0.9419999718666077,1250.401,555.265,0.9800000190734863,1042.545,443.565,0.9879999756813049,1173.849,741.482,0.9990000128746033,971.921,627.813,0.8149999976158142,925.552,509.452,0.9929999709129333,906.62,427.218,0.9990000128746033,876.513,533.909,0.9980000257492065,267.453,444.551,0.9710000157356262,275.472,476.778,0.9909999966621399,284.214,501.358,0.9440000057220459,306.65,535.457,0.9990000128746033
32,1270.087,733.237,0.9990000128746033,1186.381,653.399,0.9850000143051147,1035.954,571.909,0.8460000157356262,1258.403,563.775,0.9660000205039978,1044.469,450.525,0.9869999885559082,1180.817,747.03,0.996999979019165,971.901,628.001,0.7300000190734863,929.653,510.751,0.996999979019165,905.14,432.179,0.9990000128746033,876.016,541.256,0.996999979019165,275.733,443.978,0.9929999709129333,267.629,476.093,0.9419999718666077,284.115,501.086,0.9169999957084656,305.903,535.254,0.9990000128746033
33,1275.348,738.172,0.9990000128746033,1193.783,662.712,0.9850000143051147,1043.834,572.553,0.9240000247955322,1259.866,565.541,0.9670000076293945,1052.178,453.424,0.9779999852180481,1187.078,752.44,0.9990000128746033,979.949,627.796,0.8169999718666077,932.866,515.783,0.996999979019165,904.12,434.93,0.9990000128746033,876.623,542.65,0.9959999918937683,282.901,444.165,0.9599999785423279,275.811,476.238,0.9679999947547913,284.178,500.797,0.9160000085830688,304.381,534.632,1.0
34,1275.968,740.106,0.9980000257492065,1196.079,668.441,0.9879999756813049,1043.488,580.061,0.9290000200271606,1268.923,570.924,0.984000027179718,1058.804,459.827,0.9679999947547913,1196.559,755.786,0.9980000257492065,987.898,643.886,0.7929999828338623,938.965,517.668,0.9940000176429749,904.236,436.104,0.9990000128746033,877.274,545.806,0.9990000128746033,275.823,444.324,0.984000027179718,275.768,476.379,0.9620000123977661,284.178,500.379,0.8730000257492065,299.868,533.576,0.9990000128746033
35,1286.348,749.095,0.9990000128746033,1211.229,669.027,0.9810000061988831,1059.72,587.98,0.9179999828338623,1275.976,578.393,0.9819999933242798,1059.755,460.06,0.9570000171661377,1202.058,761.474,0.9980000257492065,987.895,643.834,0.7979999780654907,941.217,524.695,0.9860000014305115,905.003,441.669,0.9990000128746033,877.453,548.845,0.9980000257492065,283.09,444.231,0.9229999780654907,276.237,475.873,0.8429999947547913,275.875,492.167,0.9179999828338623,300.044,532.476,1.0
36,1291.312,750.981,0.9980000257492065,1210.754,682.987,0.9900000095367432,1059.887,588.234,0.9179999828338623,1284.224,582.324,0.9829999804496765,1068.155,467.599,0.9819999933242798,1207.379,765.946,0.9990000128746033,996.329,651.809,0.8560000061988831,946.693,525.407,0.9890000224113464,904.8,442.214,0.9990000128746033,876.051,557.621,0.9980000257492065,282.908,444.151,0.8889999985694885,276.061,476.127,0.8330000042915344,284.388,484.242,0.906000018119812,299.841,525.786,0.9990000128746033
37,1296.859,755.708,0.9990000128746033,1217.759,683.115,0.9959999918937683,1067.986,596.069,0.9110000133514404,1290.386,587.264,0.9800000190734863,1091.951,475.805,0.9710000157356262,1213.29,771.099,0.9980000257492065,1012.148,667.78,0.6650000214576721,949.369,532.842,0.9929999709129333,905.475,443.302,1.0,877.219,559.506,0.9980000257492065,291.795,444.29,0.9819999933242798,275.867,476.044,0.843999981880188,284.556,484.722,0.902999997138977,299.716,524.85,0.9959999918937683
38,1303.065,764.025,0.9990000128746033,1227.662,685.095,0.9810000061988831,1075.325,596.326,0.9380000233650208,1298.798,588.025,0.9850000143051147,1091.608,475.772,0.9829999804496765,1221.946,777.812,0.9990000128746033,1012.3,667.757,0.7990000247955322,956.315,539.053,0.9860000014305115,906.074,450.178,0.9990000128746033,881.738,561.325,0.9990000128746033,291.694,444.11,0.9860000014305115,267.487,468.606,0.777999997138977,275.064,485.094,0.9760000109672546,294.539,519.235,0.9980000257492065
39,1307.591,766.009,0.9980000257492065,1235.913,695.214,0.9900000095367432,1083.905,604.009,0.8659999966621399,1306.194,597.254,0.9769999980926514,1099.973,483.797,0.9620000123977661,1229.284,781.178,0.9980000257492065,1020.271,667.485,0.7400000095367432,957.397,540.339,0.9879999756813049,911.712,455.429,0.9990000128746033,883.39,564.355,0.9990000128746033,291.396,443.765,0.9810000061988831,267.636,468.649,0.47699999809265137,275.567,484.267,0.972000002861023,291.125,518.111,0.996999979019165
40,1314.69,770.919,0.9990000128746033,1242.96,698.894,0.984000027179718,1091.371,611.901,0.9369999766349792,1307.819,602.824,0.984000027179718,1107.256,491.367,0.972000002861023,1235.454,786.794,0.9990000128746033,1027.695,675.755,0.9470000267028809,963.614,546.131,0.9890000224113464,914.498,457.921,0.9990000128746033,880.753,571.803,0.9980000257492065,290.692,444.308,0.9900000095367432,267.918,459.615,0.6890000104904175,275.163,484.302,0.9660000205039978,284.318,518.781,0.9890000224113464
41,1323.066,775.654,0.996999979019165,1251.169,701.138,0.9919999837875366,1091.62,611.97,0.9610000252723694,1317.057,603.712,0.9860000014305115,1107.711,491.616,0.9779999852180481,1243.804,790.763,0.9980000257492065,1036.266,683.236,0.8999999761581421,965.02,549.464,0.9900000095367432,917.699,459.396,1.0,883.121,572.379,0.9980000257492065,298.629,451.702,0.9860000014305115,267.933,451.501,0.8799999952316284,274.706,484.75,0.968999981880188,284.09,517.32,0.9909999966621399
42,1323.652,780.976,0.9990000128746033,1257.77,709.447,0.9819999933242798,1099.968,619.929,0.8980000019073486,1323.542,613.327,0.9869999885559082,1108.02,491.827,0.9509999752044678,1249.893,795.264,0.9990000128746033,1036.425,683.383,0.9300000071525574,972.776,555.369,0.9850000143051147,919.794,459.704,0.9990000128746033,886.684,577.09,0.9980000257492065,298.427,452.671,0.9980000257492065,274.898,444.491,0.9309999942779541,275.713,476.774,0.9789999723434448,283.712,508.375,0.9860000014305115
43,1333.127,783.14,0.9990000128746033,1259.426,714.374,0.9860000014305115,1099.976,619.963,0.8999999761581421,1330.142,614.077,0.9850000143051147,1123.105,501.619,0.9750000238418579,1259.512,800.559,0.9980000257492065,1044.258,691.9,0.9580000042915344,973.146,556.225,0.972000002861023,920.164,469.367,0.9990000128746033,884.808,581.73,0.9990000128746033,306.05,453.646,1.0,274.653,445.317,0.9919999837875366,275.607,476.52,0.9919999837875366,283.504,508.847,0.9869999885559082
44,1339.331,788.869,0.9990000128746033,1268.492,716.135,0.9959999918937683,1115.852,628.014,0.9139999747276306,1334.471,619.709,0.9829999804496765,1131.853,507.452,0.9750000238418579,1260.722,805.473,0.9980000257492065,1052.348,699.237,0.9120000004768372,979.973,563.84,0.9879999756813049,921.397,473.568,0.9990000128746033,884.93,587.473,0.996999979019165,309.415,454.916,1.0,274.193,445.281,0.9940000176429749,275.16,476.326,0.984000027179718,277.415,508.471,0.9959999918937683
